HINT_WALL 1
nfp = 5
stellarator_symmetric = true
toroidal_planes = 21
poloidal_points = 72
DATA
# phi [rad]  R [m]  Z [m]; implicit poloidal closing segment
0.00000000000000000e+00 5.59570000000000078e+00 -1.24114999999999998e+00
0.00000000000000000e+00 5.68948999999999927e+00 -1.23208000000000006e+00
0.00000000000000000e+00 5.78722999999999921e+00 -1.20904999999999996e+00
0.00000000000000000e+00 5.88658999999999999e+00 -1.17002999999999990e+00
0.00000000000000000e+00 5.98446000000000033e+00 -1.11453999999999986e+00
0.00000000000000000e+00 6.07908000000000026e+00 -1.04221000000000008e+00
0.00000000000000000e+00 6.16847000000000012e+00 -9.51945000000000041e-01
0.00000000000000000e+00 6.24899000000000004e+00 -8.44420999999999977e-01
0.00000000000000000e+00 6.31759999999999966e+00 -7.22408999999999968e-01
0.00000000000000000e+00 6.37320000000000064e+00 -5.88687999999999989e-01
0.00000000000000000e+00 6.41528000000000009e+00 -4.46307999999999983e-01
0.00000000000000000e+00 6.44390999999999980e+00 -2.99146999999999996e-01
0.00000000000000000e+00 6.46027000000000040e+00 -1.50010000000000004e-01
3.14159265358979339e-02 6.46615999999999946e+00 -7.27793999999999941e-02
3.14159265358979339e-02 6.46501999999999910e+00 7.69424999999999970e-02
3.14159265358979339e-02 6.45561999999999969e+00 2.25799999999999973e-01
3.14159265358979339e-02 6.43515000000000015e+00 3.74063999999999952e-01
3.14159265358979339e-02 6.40097000000000005e+00 5.20167000000000046e-01
3.14159265358979339e-02 6.35253000000000068e+00 6.60926000000000013e-01
3.14159265358979339e-02 6.28817999999999966e+00 7.92692999999999981e-01
3.14159265358979339e-02 6.20663000000000054e+00 9.11205000000000043e-01
3.14159265358979339e-02 6.11166000000000054e+00 1.01215000000000011e+00
3.14159265358979339e-02 6.00980999999999987e+00 1.09369000000000005e+00
3.14159265358979339e-02 5.90493000000000023e+00 1.15745000000000009e+00
3.14159265358979339e-02 5.79884999999999984e+00 1.20579999999999998e+00
3.14159265358979339e-02 5.69379999999999953e+00 1.23877999999999999e+00
3.14159265358979339e-02 5.59173000000000009e+00 1.25436000000000014e+00
3.14159265358979339e-02 5.49504999999999999e+00 1.25165000000000015e+00
3.14159265358979339e-02 5.40830000000000055e+00 1.23313999999999990e+00
3.14159265358979339e-02 5.33562000000000047e+00 1.20367000000000002e+00
3.14159265358979339e-02 5.27841999999999967e+00 1.16790000000000016e+00
3.14159265358979339e-02 5.23652000000000051e+00 1.12912999999999997e+00
3.14159265358979339e-02 5.20784999999999965e+00 1.08895999999999993e+00
3.14159265358979339e-02 5.18750999999999962e+00 1.04658000000000007e+00
3.14159265358979339e-02 5.17153000000000063e+00 9.99291999999999958e-01
3.14159265358979339e-02 5.15928999999999949e+00 9.44599999999999884e-01
3.14159265358979339e-02 5.15057000000000009e+00 8.81445999999999952e-01
3.14159265358979339e-02 5.14666000000000068e+00 8.10444999999999971e-01
3.14159265358979339e-02 5.15486999999999984e+00 7.35406000000000004e-01
3.14159265358979339e-02 5.18272000000000066e+00 6.63171999999999984e-01
3.14159265358979339e-02 5.22683999999999926e+00 5.98746999999999918e-01
3.14159265358979339e-02 5.27610000000000046e+00 5.41470000000000007e-01
3.14159265358979339e-02 5.32354000000000038e+00 4.87944000000000044e-01
3.14159265358979339e-02 5.36847999999999992e+00 4.36506999999999978e-01
