HINT_WALL 1
nfp = 3
stellarator_symmetric = true
toroidal_planes = 65
poloidal_points = 204
DATA
# phi [rad]  R [m]  Z [m]; implicit poloidal closing segment
1.63624617374468380e-02 1.90695025408507957e+00 7.61001927395593913e-01
1.63624617374468380e-02 1.88174843507501666e+00 7.76470689717669749e-01
1.63624617374468380e-02 1.85632668060237949e+00 7.91544208038152064e-01
1.63624617374468380e-02 1.83067597213055211e+00 8.06219733496891688e-01
1.63624617374468380e-02 1.80478619312406452e+00 8.20497408492120162e-01
1.63624617374468380e-02 1.77866180395373208e+00 8.34380948441371451e-01
1.63624617374468380e-02 1.75232396185881312e+00 8.47872547795868070e-01
1.63624617374468380e-02 1.72579635813324317e+00 8.60964264026008230e-01
1.63624617374468380e-02 1.69908603611700704e+00 8.73631668879081724e-01
1.63624617374468380e-02 1.67217540664335607e+00 8.85834698723352743e-01
1.63624617374468380e-02 1.64503303115857702e+00 8.97525544283798937e-01
1.63624617374468380e-02 1.61763532058669668e+00 9.08657890840071647e-01
1.63624617374468380e-02 1.58998192257152970e+00 9.19190440417369414e-01
1.63624617374468380e-02 1.56209241119846398e+00 9.29081996828830969e-01
1.63624617374468380e-02 1.53398736727348983e+00 9.38282398677337870e-01
1.63624617374468380e-02 1.50567029074237069e+00 9.46727613054136441e-01
1.63624617374468380e-02 1.47712656691563704e+00 9.54344619810151618e-01
1.63624617374468380e-02 1.44834156789147994e+00 9.61063833952777280e-01
1.63624617374468380e-02 1.41932345692086059e+00 9.66829833481162360e-01
1.63624617374468380e-02 1.39011149227062658e+00 9.71601218960528201e-01
1.63624617374468380e-02 1.36076228700362512e+00 9.75338548345137335e-01
1.63624617374468380e-02 1.33132527821336311e+00 9.77989763975788629e-01
1.63624617374468380e-02 1.30182855133021769e+00 9.79486636253883658e-01
1.63624617374468380e-02 1.27228792809950897e+00 9.79758466015038576e-01
1.63624617374468380e-02 1.24273209947303509e+00 9.78754075997506079e-01
1.63624617374468380e-02 1.21322210879142367e+00 9.76450751712108267e-01
1.63624617374468380e-02 1.18384900029849871e+00 9.72830285944787265e-01
1.63624617374468380e-02 1.15471675577291344e+00 9.67820521061379058e-01
1.63624617374468380e-02 1.12593957389828891e+00 9.61226840924444104e-01
1.63624617374468380e-02 1.09768125997171806e+00 9.52695511112055415e-01
1.63624617374468380e-02 1.07023423771046322e+00 9.41745836815489068e-01
1.63624617374468380e-02 1.04409480157520851e+00 9.27879302968995234e-01
1.63624617374468380e-02 1.01997128424502881e+00 9.10734466483774541e-01
1.63624617374468380e-02 9.98684420011221929e-01 8.90227697263864748e-01
1.63624617374468380e-02 9.80977347316045800e-01 8.66618995348497290e-01
1.63624617374468380e-02 9.67311950753824479e-01 8.40471592815327684e-01
1.63624617374468380e-02 9.57748641906435272e-01 8.12519892982403347e-01
1.63624617374468380e-02 9.51970828404703484e-01 7.83499547879144997e-01
